,,Status Id,,Campus Pref,,,,Discpline Pref.,,,,Matriculation,,,,Intermediate,,,,,,NU Test Marks,,SAT I ,,SAT II,,,NU Merit Marks,,NTS Admission Offer,,NU Admission Offer,,Admission,,,,,,,,,,,,,,,,,,,,,,,,,
L,CITY,STATUS_ID,STATUS,Ist,2nd,3rd,4th,Ist,2nd,3rd,4th,Board,Degree,Total,Obtained,Board,Degree,Total,Obtained,NTS_MARKS,NU_TEST_CENTER,BBA,BS,Total,Obtained,Total,Obtained,NTS Merit Marks,BBA/BS(AF),BS,Campus,Discipline,Campus,Discipline,Campus,Discipline,DEGREE_STATUS,,,,,,,,,,,,,,,,,,,,,,,
1900115,Attock,10,Admit Card Printed,ISB,,,,BS(AI),,,,Federal,SSC,1050,873,Federal,HSSC-I,520,873,49,ISB,,53.805552,,,,,,,67.86,,,ISB,BS(AI),,,,,,,,,,,,,,,,,,,,,,,,,,
1900117,Lahore,10,Admit Card Printed,LHR,,,,BS(CS),,,,Cambridge,O-Level,900,731,,,,731,,LHR,,51.215277,,,,,,,62.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900118,Others,7,Challan Printed,ISB,,,,BS(EE),,,,Gujranwala,SSC,1100,1020,Gujranwala,HSSC-I,520,1020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900119,Islamabad,10,Admit Card Printed,ISB,,,,BS(AF),BBA,BS(AI),,Cambridge,O-Level,800,530,,,,530,0,ISB,44.500002,,,,,,,52.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900120,Bahawalpur,10,Admit Card Printed,ISB,,,,BS(CS),BBA,,,Bahawalpur,SSC,1100,1025,Bahawalpur,HSSC-I,520,1025,86,ISB,37.041674,52.395832,,,,,83.48,59,66.68,ISB,BS(CS),,,ISB,BS(CS)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1900121,Karachi ,8,Fee Paid,KHI,LHR,,,BS(CS),,,,Cambridge,O-Level,900,793,,,,793,,,,,2400,1520,800,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900123,Islamabad,10,Admit Card Printed,ISB,,,,BS(CS),,,,Federal,SSC,1050,988,Federal,HSSC-I,510,988,67,ISB,,63.624995,,,,,78.6,,76.91,,,ISB,BS(CS),,,,,,,,,,,,,,,,,,,,,,,,,,
1900125,Lahore,10,Admit Card Printed,LHR,,,,BS(CS),,,,Cambridge,O-Level,900,731,,,,731,,LHR,,47.11111,,,,,,,60.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900127,Lahore,10,Admit Card Printed,LHR,,,,BS(CS),,,,Cambridge,O-Level,900,771,,,,771,,LHR,,45.229164,,,,,,,61.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900128,Lahore,2,AcademicInfo,,,,,,,,,Cambridge,O-Level,900,641,Cambridge,A-Level,1100,641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
